team1,team2,winner,margin,matchDate,match_id
RCB,RR,RCB,7 runs,"Apr 23, 2023",T205220
PBKS,MI,PBKS,13 runs,"Apr 22, 2023",T204462
GT,LSG,GT,7 runs,"Apr 22, 2023",T208595
SRH,CSK,CSK,7 wickets,"Apr 21, 2023",T208568
KKR,DC,DC,4 wickets,"Apr 20, 2023",T206506
RCB,PBKS,RCB,24 runs,"Apr 20, 2023",T209410
LSG,RR,LSG,10 runs,"Apr 19, 2023",T205539
MI,SRH,MI,14 runs,"Apr 18, 2023",T203831
CSK,RCB,CSK,8 runs,"Apr 17, 2023",T206232
GT,RR,RR,3 wickets,"Apr 16, 2023",T204210
KKR,MI,MI,5 wickets,"Apr 16, 2023",T202897
LSG,PBKS,PBKS,2 wickets,"Apr 15, 2023",T203424
RCB,DC,RCB,23 runs,"Apr 15, 2023",T208157
SRH,KKR,SRH,23 runs,"Apr 14, 2023",T209839
PBKS,GT,GT,6 wickets,"Apr 13, 2023",T206541
RR,CSK,RR,3 runs,"Apr 12, 2023",T201215
DC,MI,MI,6 wickets,"Apr 11, 2023",T207664
RCB,LSG,LSG,1 wicket,"Apr 10, 2023",T202162
PBKS,SRH,SRH,8 wickets,"Apr 9, 2023",T206444
GT,KKR,KKR,3 wickets,"Apr 9, 2023",T208626
MI,CSK,CSK,7 wickets,"Apr 8, 2023",T206408
RR,DC,RR,57 runs,"Apr 8, 2023",T207547
SRH,LSG,LSG,5 wickets,"Apr 7, 2023",T209590
KKR,RCB,KKR,81 runs,"Apr 6, 2023",T207668
PBKS,RR,PBKS,5 runs,"Apr 5, 2023",T201031
DC,GT,GT,6 wickets,"Apr 4, 2023",T205026
CSK,LSG,CSK,12 runs,"Apr 3, 2023",T202790
MI,RCB,RCB,8 wickets,"Apr 2, 2023",T202485
RR,SRH,RR,72 runs,"Apr 2, 2023",T209117
LSG,DC,LSG,50 runs,"Apr 1, 2023",T208512
PBKS,KKR,PBKS,7 runs,"Apr 1, 2023",T202853
CSK,GT,GT,5 wickets,"Mar 31, 2023",T201566
